station_Borgo Valsugana,station_Monte Gaza,station_Parco S. Chiara,station_Piana Rotaliana,station_Riva del Garda,station_Rovereto,station_Via Bolzano,elevation,day,cos_week_day,sin_week_day,cos_hour,sin_hour,temperature,precipitation,O3_1,O3_2,O3_3,O3_diff_1,O3_diff_2,PM10_1,NO2_1,power_area_50_1,power_area_50_2,target
0,0,1,0,0,0,0,312,32,1.0,0.0,-0.5000000000000004,-0.8660254037844384,9.525,0.0,27.0,28.0,29.0,-1.0,-2.0,8.0,46.0,154.85508066216696,150.62667846679318,6.0
0,0,1,0,0,0,0,312,32,1.0,0.0,-0.25881904510252063,-0.9659258262890683,8.275,0.0,6.0,27.0,28.0,-21.0,-22.0,17.0,80.0,160.22207054570686,154.85508066216696,3.0
0,0,1,0,0,0,0,312,32,1.0,0.0,-1.8369701987210297e-16,-1.0,6.775,0.0,3.0,6.0,27.0,-3.0,-24.0,35.0,103.0,167.5510918044428,160.22207054570686,3.0
0,0,1,0,0,0,0,312,32,1.0,0.0,0.2588190451025203,-0.9659258262890684,5.8,0.0,3.0,3.0,6.0,0.0,-3.0,38.0,101.0,171.64905357110052,167.5510918044428,3.0
0,0,1,0,0,0,0,312,32,1.0,0.0,0.5,-0.8660254037844386,4.775,0.0,3.0,3.0,3.0,0.0,0.0,44.0,108.0,168.21980661666464,171.64905357110052,4.0
0,0,1,0,0,0,0,312,32,1.0,0.0,0.7071067811865475,-0.7071067811865477,3.9,0.0,4.0,3.0,3.0,1.0,1.0,44.0,92.0,158.30423160878368,168.21980661666464,4.0
0,0,1,0,0,0,0,312,32,1.0,0.0,0.8660254037844384,-0.5000000000000004,3.525,0.0,4.0,4.0,3.0,0.0,1.0,49.0,86.0,142.70933712291995,158.30423160878368,4.0
0,0,1,0,0,0,0,312,32,1.0,0.0,0.9659258262890681,-0.2588190451025215,3.325,0.0,4.0,4.0,4.0,0.0,0.0,53.0,100.0,126.88232788068171,142.70933712291995,4.0
0,0,1,0,0,0,0,312,33,0.6234898018587336,0.7818314824680297,0.9659258262890683,0.25881904510252074,3.125,0.0,4.0,4.0,4.0,0.0,0.0,63.0,105.0,109.6821463305764,126.88232788068171,3.0
0,0,1,0,0,0,0,312,33,0.6234898018587336,0.7818314824680297,0.8660254037844387,0.49999999999999994,2.325,0.0,3.0,4.0,4.0,-1.0,-1.0,40.0,61.0,85.5672360681161,109.6821463305764,2.0
0,0,1,0,0,0,0,312,33,0.6234898018587336,0.7818314824680297,0.7071067811865476,0.7071067811865475,1.475,0.0,2.0,3.0,4.0,-1.0,-2.0,37.0,57.0,80.52678404570617,85.5672360681161,1.0
0,0,1,0,0,0,0,312,33,0.6234898018587336,0.7818314824680297,0.5000000000000001,0.8660254037844386,0.675,0.0,1.0,2.0,3.0,-1.0,-2.0,31.0,50.0,78.62743321655317,80.52678404570617,1.0
0,0,1,0,0,0,0,312,33,0.6234898018587336,0.7818314824680297,0.25881904510252074,0.9659258262890683,0.725,0.0,1.0,1.0,2.0,0.0,-1.0,25.0,45.0,77.79553895134582,78.62743321655317,1.0
0,0,1,0,0,0,0,312,33,0.6234898018587336,0.7818314824680297,6.123233995736766e-17,1.0,0.8,0.0,1.0,1.0,1.0,0.0,0.0,21.0,46.0,80.36476047984003,77.79553895134582,1.0
0,0,1,0,0,0,0,312,33,0.6234898018587336,0.7818314824680297,-0.25881904510252063,0.9659258262890683,1.0,0.0,1.0,1.0,1.0,0.0,0.0,25.0,54.0,88.52107857462535,80.36476047984003,2.0
0,0,1,0,0,0,0,312,33,0.6234898018587336,0.7818314824680297,-0.4999999999999998,0.8660254037844388,1.525,0.0,2.0,1.0,1.0,1.0,1.0,28.0,60.0,112.59409948015757,88.52107857462535,2.0
0,0,1,0,0,0,0,312,33,0.6234898018587336,0.7818314824680297,-0.7071067811865475,0.7071067811865476,1.3,0.0,2.0,2.0,1.0,0.0,1.0,28.0,74.0,144.18245170545887,112.59409948015757,2.0
0,0,1,0,0,0,0,312,33,0.6234898018587336,0.7818314824680297,-0.8660254037844387,0.49999999999999994,1.65,0.0,2.0,2.0,2.0,0.0,0.0,34.0,93.0,164.5771743521526,144.18245170545887,3.0
0,0,1,0,0,0,0,312,33,0.6234898018587336,0.7818314824680297,-0.9659258262890682,0.258819045102521,2.15,0.0,3.0,2.0,2.0,1.0,1.0,36.0,101.0,172.129872268581,164.5771743521526,6.0
0,0,1,0,0,0,0,312,33,0.6234898018587336,0.7818314824680297,-1.0,1.2246467991473532e-16,4.325,0.0,6.0,3.0,2.0,3.0,4.0,24.0,63.0,169.5689019600221,172.129872268581,10.0
